,ZIPCODE,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Score
88,00791,34190,5533,2656,10891,3201,3736,5981,2192,3.6920737057619184
89,00794,18836,3379,1959,6436,2486,1136,2577,863,3.383520917392228
90,00795,30114,4358,2930,9551,2554,3142,5901,1678,3.717506807464966
91,00901,5167,562,484,1256,388,391,1215,871,4.294948712986259
92,00906,170,0,0,0,7,14,42,107,6.464705882352941
93,00907,13401,1364,699,2035,1214,1280,3481,3328,4.798522498321021
94,00909,3559,387,290,987,498,244,683,470,4.082045518404046
95,00911,5644,546,169,719,740,425,1869,1176,4.885187810063784
96,00912,4167,632,338,963,445,394,871,524,4.041516678665706
97,00913,4230,706,431,1664,411,330,414,274,3.370212765957447
98,00915,17912,4511,2233,6095,1646,1362,1544,521,2.990564984368021
99,00917,13804,2398,1348,4025,1366,1370,2081,1216,3.656983483048392
100,00918,11615,1249,486,1501,894,1173,3285,3027,4.912957382694791
101,00920,12462,1351,1057,2612,1764,1761,2760,1157,4.158321296742096
102,00921,23491,2684,1761,5969,2626,4139,4267,2045,4.053850410795623
103,00923,16816,3081,2006,4406,1744,2025,2355,1199,3.5641650808753567
104,00924,32832,4152,2567,8009,4433,4056,6149,3466,4.035118177387914
105,00925,4413,1026,381,828,587,210,877,504,3.729888964423295
106,00926,69605,6582,3253,13425,7679,7576,18331,12759,4.615444292795058
107,00927,10005,409,203,1459,903,1166,3188,2677,5.247476261869066
108,00934,60,0,0,0,26,0,19,15,5.383333333333333
109,00936,772,263,111,232,38,39,61,28,2.707253886010363
110,00949,51658,5535,3988,13938,8522,5313,10637,3725,3.985345928994541
111,00950,0,0,0,0,0,0,0,0,
112,00951,0,0,0,0,0,0,0,0,
113,00952,5739,1058,672,1694,879,748,583,105,3.305976650984492
114,00953,48306,5939,3271,12002,6822,5502,11343,3427,4.043638471411419
115,00956,46833,6845,4373,11609,8016,4919,8565,2506,3.7582260371959944
116,00957,27148,3515,1607,7296,4618,3196,5341,1575,3.9096802711065273
117,00959,33181,2616,1829,7027,6193,3585,8448,3483,4.373617431662699
118,00960,1778,352,562,577,182,66,30,9,2.5354330708661417
119,00961,22665,2691,1616,5034,3717,2198,4842,2567,4.143128171189058
120,00962,13057,2301,1611,4150,1866,1200,1397,532,3.3348395496668455
121,00965,5276,1000,849,1805,611,451,527,33,3.0714556482183473
122,00966,11629,539,297,1233,1432,1123,3816,3189,5.279387737552669
123,00968,3080,65,67,234,361,219,1244,890,5.562987012987014
124,00969,30497,1620,808,4090,3429,2268,10904,7378,5.168770698757255
125,00971,19676,3691,1901,4102,3448,1886,3370,1278,3.668784305753202
126,00976,41363,4187,2217,10156,5622,4487,10246,4448,4.270096463022508
127,00979,12860,778,609,2324,1703,1421,3833,2192,4.7610419906687405
128,00982,10445,1164,630,2881,1732,1257,2123,658,3.985064624222116
