,ZIPCODE,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Score
9374,29536,10617,889,1753,3961,2109,741,720,444,3.376377507770556
9375,29540,3668,321,679,1237,792,303,248,88,3.31979280261723
9376,29541,6758,293,694,2740,1215,915,516,385,3.7181118674163955
9377,29543,466,44,34,208,121,0,33,26,3.4334763948497855
9378,29544,3704,204,270,1592,579,501,414,144,3.734611231101512
9379,29545,1036,107,213,376,132,56,127,25,3.2876447876447874
9380,29546,2122,164,236,921,492,73,177,59,3.396324222431668
9381,29547,2265,453,341,812,345,146,117,51,2.975717439293598
9382,29550,21469,1158,2303,7379,4077,2195,2664,1693,3.8669244026270437
9383,29554,6054,378,948,2720,1112,304,310,282,3.3425834159233565
9384,29555,3710,234,424,1310,862,339,359,182,3.6611859838274934
9385,29556,7872,545,871,2949,1416,799,897,395,3.676321138211382
9386,29560,8691,829,1413,2657,1439,711,1122,520,3.602462317339777
9387,29563,1796,115,308,730,326,101,106,110,3.416481069042316
9388,29564,534,50,70,237,95,15,48,19,3.327715355805243
9389,29565,4638,276,642,1980,759,471,347,163,3.4743423889607588
9390,29566,14001,79,654,5150,3420,1510,2219,969,4.154274694664667
9391,29567,326,90,70,113,25,20,6,2,2.5122699386503067
9392,29568,11097,336,1231,4253,2326,1096,1178,677,3.798143642425881
9393,29569,12337,547,1657,5716,2195,809,883,530,3.472643268217557
9394,29570,2506,216,350,1120,576,105,89,50,3.187948922585794
9395,29571,9733,475,1181,3646,2190,747,888,606,3.6823178875988902
9396,29572,7821,76,194,1966,1661,678,1983,1263,4.748114051911521
9397,29574,7993,631,1221,2967,1313,662,911,288,3.505317152508445
9398,29575,14926,195,721,4670,4020,1513,2646,1161,4.240586895350396
9399,29576,26372,332,1315,7776,6629,3138,4643,2539,4.3275822842408616
9400,29577,22775,875,1933,6783,5178,2232,4017,1757,4.099363336992316
9401,29579,27961,321,1351,7247,6421,3669,6043,2909,4.485318836951468
9402,29580,932,96,98,543,62,81,47,5,3.1019313304721026
9403,29581,3335,272,385,1221,685,257,418,97,3.573313343328336
9404,29582,14150,267,799,3784,3321,1154,3080,1745,4.4498939929328625
9405,29583,3621,198,431,1572,595,304,332,189,3.587682960508147
9406,29584,1572,183,170,684,238,169,77,51,3.3021628498727735
9407,29585,12223,356,272,1959,2511,935,3711,2479,5.0
9408,29588,33088,1222,2455,10364,8367,3237,4923,2520,4.051468810444874
9409,29590,2712,92,434,997,656,326,159,48,3.5011061946902653
9410,29591,3765,417,635,1654,511,301,191,56,3.117131474103586
9411,29592,498,44,69,224,72,54,29,6,3.2690763052208838
9412,29593,1152,23,260,328,303,44,165,29,3.6041666666666665
9413,29594,66,2,0,37,14,7,5,1,3.6515151515151514
9414,29596,1648,169,209,523,250,206,177,114,3.6686893203883493
9415,29601,9373,481,1095,1803,1404,491,2409,1690,4.5273658380454505
9416,29605,24571,1110,2957,6503,4660,1656,4489,3196,4.182125269626796
9417,29607,27550,731,1689,5158,5325,2432,7780,4435,4.746569872958258
9418,29609,20026,948,1824,4037,3743,1974,4580,2920,4.46764206531509
9419,29611,20173,2375,3614,6661,3692,1215,1944,672,3.3112080503643484
9420,29613,16,0,0,0,4,0,5,7,5.9375
9421,29614,173,1,8,13,37,0,39,75,5.566473988439306
9422,29615,27025,344,729,4857,5011,2721,8579,4784,4.994782608695652
9423,29617,19482,2232,2198,6581,3535,1172,2236,1528,3.6178523765527153
9424,29620,9040,455,1337,3130,1666,996,1123,333,3.6761061946902656
9425,29621,28264,822,1949,7576,5555,3188,5701,3473,4.391628927257289
9426,29624,11054,1246,2347,4231,2015,685,353,177,3.02831554188529
9427,29625,20043,1028,2026,5741,4672,2656,2426,1494,3.9557451479319465
9428,29626,8633,468,822,2987,1938,1115,783,520,3.7921927487547786
9429,29627,13283,971,1872,4881,2536,1274,1352,397,3.520514943913273
9430,29628,1722,172,158,776,290,192,94,40,3.3565621370499414
9431,29630,9018,436,681,2448,1610,833,1601,1409,4.348636061210912
9432,29631,6819,115,108,815,1112,377,1600,2692,5.507112479835753
9433,29634,47,0,22,11,4,0,1,9,3.446808510638298
9434,29635,1035,102,90,222,293,80,149,99,3.9681159420289855
9435,29638,2348,99,174,716,564,366,320,109,3.988074957410562
9436,29639,721,33,55,218,109,73,110,123,4.325936199722608
9437,29640,21125,1325,2859,7205,4609,2030,2245,852,3.6297278106508872
9438,29642,22361,553,1436,6189,4800,2603,4320,2460,4.353427843119718
9439,29643,1677,54,90,649,176,217,350,141,4.208109719737626
9440,29644,13900,541,1570,4458,2886,1860,1835,750,3.8963309352517985
9441,29645,6533,373,740,2534,1452,696,579,159,3.571100566355426
9442,29646,18143,1637,2347,6119,3362,1524,2175,979,3.6189715041613844
9443,29649,17603,469,1499,4375,2900,2351,3718,2291,4.447650968584901
9444,29650,23419,709,762,4166,4131,1876,7198,4577,4.947350441948845
9445,29651,32312,1712,3255,8727,6447,3212,5641,3318,4.126114137162665
9446,29653,3294,193,322,1246,472,531,342,188,3.7905282331511843
9447,29654,6505,518,639,2242,1460,667,710,269,3.664873174481168
9448,29655,5012,394,780,1899,819,486,420,214,3.466679968076616
9449,29657,10875,643,1126,4120,2001,1352,1121,512,3.708413793103449
9450,29658,380,0,56,192,33,35,19,45,3.7473684210526312
9451,29659,61,5,4,27,9,11,5,0,3.5245901639344264
9452,29661,4282,581,590,1182,858,435,482,154,3.4759458197104163
9453,29662,10952,336,410,3287,2607,1134,2125,1053,4.31300219138057
9454,29664,1666,52,224,499,421,151,200,119,3.882953181272509
9455,29665,140,41,36,28,35,0,0,0,2.4071428571428575
9456,29666,4983,161,515,1493,1028,712,723,351,4.041139875576961
9457,29667,179,6,33,57,30,20,13,20,3.804469273743017
9458,29669,8503,524,1183,3306,1475,1008,644,363,3.546160178760437
9459,29670,6152,272,467,1558,1552,627,1031,645,4.213914174252275
9460,29671,12238,640,1661,3845,2667,1273,1481,671,3.7680176499428013
9461,29672,9194,212,222,2122,1886,894,2221,1637,4.766260604742223
9462,29673,20129,985,2429,6172,4269,1628,2964,1682,3.931293159123652
9463,29676,4662,72,333,813,867,486,1041,1050,4.8629343629343635
9464,29678,15066,1351,1676,4572,2942,1572,1755,1198,3.7808973848400376
9465,29680,21775,372,1173,5449,4914,2310,4938,2619,4.511228473019518
9466,29681,38314,668,1281,6837,7679,3651,11683,6515,4.917654121208957
9467,29682,2611,149,254,738,465,356,431,218,4.0685561087705855
9468,29683,119,25,0,55,39,0,0,0,2.907563025210084
9469,29684,2637,108,530,1025,466,232,166,110,3.4254835039817975
9470,29685,1343,53,28,364,239,159,290,210,4.588235294117647
9471,29686,670,88,38,226,159,57,74,28,3.5865671641791046
9472,29687,28852,982,1780,7854,6970,3355,5272,2639,4.258422293081936
9473,29689,2964,107,200,1035,681,335,306,300,4.030701754385965
9474,29690,14856,556,1459,4276,3473,1598,2019,1475,4.080708131394722
9475,29691,7841,583,1228,2619,1463,797,809,342,3.568549929855886
9476,29692,3311,373,364,1240,698,291,240,105,3.39565086076714
9477,29693,10622,840,1186,3806,1992,1035,1141,622,3.6690830352099413
9478,29696,3554,156,384,1085,664,375,548,342,4.049521665728756
9479,29697,8794,528,1071,2927,1711,1048,914,595,3.7734819194905613
9480,29702,6841,583,1066,2537,1196,617,505,337,3.447449203332846
9481,29704,2560,83,338,949,604,256,275,55,3.647265625
9482,29706,13569,748,1711,5630,2388,1254,1244,594,3.5746186159628563
9483,29707,21268,191,760,3411,3730,1969,7507,3700,5.061641903328945
9484,29708,22167,284,457,2988,3714,2112,8674,3938,5.196372986872378
9485,29709,5171,263,633,2233,870,571,287,314,3.574356990910849
9486,29710,24513,879,1631,6564,5438,2418,5181,2402,4.306898380451189
9487,29712,1525,94,26,709,213,193,241,49,3.8550819672131156
9488,29714,2073,105,276,671,414,299,245,63,3.7298601061263867
9489,29715,21102,631,1094,4558,4199,2321,5798,2501,4.605677186996493
9490,29717,961,69,115,399,173,60,92,53,3.54942767950052
9491,29718,2823,185,573,1234,384,227,145,75,3.2231668437832095
9492,29720,33269,1780,3985,13074,6682,2905,2980,1863,3.6414079172803513
9493,29724,15,0,0,15,0,0,0,0,3.0
9494,29726,1115,66,174,385,209,140,98,43,3.5820627802690588
9495,29727,1114,132,201,386,245,67,80,3,3.1490125673249554
9496,29728,6698,747,1044,2605,1282,388,419,213,3.243206927441028
9497,29729,1503,129,200,528,335,115,122,74,3.511643379906853
9498,29730,36764,1815,3775,10994,8868,3422,5401,2489,3.937493199869438
9499,29732,40498,1075,2389,9401,8784,4794,9230,4825,4.501876635883254
9500,29733,25,0,0,0,6,0,6,13,6.04
9501,29741,1730,199,316,679,283,132,78,43,3.1381502890173407
9502,29742,1882,71,162,857,410,219,115,48,3.574388947927736
9503,29743,655,49,160,243,86,55,27,35,3.2427480916030538
9504,29745,20583,919,1676,7432,4701,1813,2667,1375,3.889763396978089
9505,29801,18930,1014,1952,6791,3550,1482,2704,1437,3.8660327522451134
9506,29803,28972,264,1202,6273,5974,2225,7595,5439,4.83746375811128
9507,29805,4361,153,451,1737,853,511,467,189,3.7509745471222193
9508,29809,1787,48,198,781,365,141,177,77,3.6670397313933965
9509,29810,2890,353,415,1145,534,152,225,66,3.2269896193771626
9510,29812,7601,539,809,2608,1694,1001,623,327,3.655966320221024
9511,29816,718,106,107,437,50,0,18,0,2.700557103064067
9512,29817,2925,267,403,969,627,325,234,100,3.4929914529914527
9513,29819,1227,81,142,389,223,236,115,41,3.733496332518337
9514,29821,1015,71,125,315,265,119,120,0,3.5871921182266013
9515,29824,6532,403,756,2492,1280,524,772,305,3.6586037966932032
9516,29826,96,22,7,43,6,13,4,1,2.9687499999999996
9517,29827,3076,146,457,1426,515,251,245,36,3.372886866059818
9518,29828,520,77,78,198,48,21,90,8,3.3076923076923075
9519,29829,7609,742,646,2497,1667,689,908,460,3.7200683401235377
9520,29831,3087,129,328,1318,772,243,196,101,3.539034661483641
9521,29832,3614,280,424,1602,605,278,248,177,3.450747094631987
9522,29834,1082,108,140,587,164,39,10,34,3.048059149722736
9523,29835,5102,220,582,1441,1022,497,914,426,4.06624852998824
9524,29836,313,35,14,186,34,17,14,13,3.249201277955271
9525,29838,325,5,13,171,49,20,29,38,3.9384615384615382
9526,29840,268,55,47,112,9,30,15,0,2.8395522388059704
9527,29841,22257,795,1692,7451,4696,1772,4211,1640,4.085096823471267
9528,29842,5030,276,534,2152,1194,361,341,172,3.5051689860834987
9529,29843,812,57,79,403,100,82,85,6,3.431034482758621
9530,29844,111,0,3,50,13,29,7,9,4.126126126126126
9531,29845,764,115,51,363,102,52,48,33,3.263089005235602
9532,29847,3808,262,611,1414,632,343,399,147,3.5168067226890756
9533,29848,427,0,27,162,71,117,24,26,4.063231850117096
9534,29849,241,4,42,137,15,33,2,8,3.2863070539419086
9535,29850,107,0,16,21,70,0,0,0,3.5046728971962615
9536,29851,4998,395,506,2144,1019,405,424,105,3.4451780712284914
9537,29853,4188,278,483,1558,855,645,257,112,3.5551575931232096
9538,29856,1821,75,385,600,410,206,43,102,3.452498627127951
9539,29860,11436,506,734,2747,2310,1036,2224,1879,4.471143756558237
9540,29899,1110,89,315,430,201,55,20,0,2.89009009009009
9541,29902,10903,236,589,2823,2517,1301,1933,1504,4.455837842795561
9542,29904,102,0,0,56,15,20,4,7,3.931372549019608
9543,29905,508,0,0,145,229,73,55,6,4.110236220472441
9544,29906,13778,308,1148,4687,3484,1238,1881,1032,4.01371752068515
9545,29907,9865,278,530,1920,2187,1033,2169,1748,4.6894069944247345
9546,29909,16821,89,256,3255,3545,1371,4325,3980,5.06575114440283
9547,29910,28216,1111,1148,6048,6319,2208,7216,4166,4.618833286078821
9548,29911,1056,18,88,573,201,98,71,7,3.486742424242424
9549,29912,0,0,0,0,0,0,0,0,
9550,29915,422,0,0,32,77,32,180,101,5.571090047393365
9551,29916,1054,0,9,654,191,109,66,25,3.6622390891840606
9552,29918,4131,287,616,1992,617,275,275,69,3.2609537642217385
9553,29920,8732,110,773,2782,1588,754,1477,1248,4.31997251488777
9554,29921,153,4,52,50,10,22,10,5,3.2875816993464055
9555,29922,561,85,62,216,123,16,21,38,3.245989304812834
9556,29923,249,4,63,124,35,13,7,3,3.0923694779116464
9557,29924,3158,103,412,1443,446,294,336,124,3.6079797340088664
9558,29926,20745,442,1182,4089,3335,1673,5771,4253,4.87707881417209
9559,29927,6288,643,1028,2068,1217,381,615,336,3.4538804071246823
9560,29928,14176,120,243,1784,2374,1049,5222,3384,5.34135158013544
9561,29929,786,14,72,332,143,62,117,46,3.8931297709923665
9562,29932,115,0,8,66,29,4,8,0,3.4608695652173918
9563,29934,851,154,112,319,74,36,44,112,3.3595769682726204
9564,29935,2716,108,186,676,715,267,493,271,4.255522827687776
9565,29936,9600,287,1175,3919,2095,666,979,479,3.6803124999999994
9566,29939,253,8,28,143,39,27,8,0,3.2885375494071143
9567,29940,2779,65,167,1093,561,392,324,177,3.9816480748470675
9568,29941,469,12,86,191,62,25,41,52,3.7100213219616207
9569,29943,496,0,0,418,78,0,0,0,3.157258064516129
9570,29944,2735,73,346,1196,422,258,326,114,3.687385740402194
9571,29945,3561,162,412,1527,681,453,227,99,3.541420949171581
9572,30002,4293,76,108,657,799,226,1201,1226,5.212438853948288
9573,30004,42058,1441,685,4702,5889,2414,16480,10447,5.339103143278329
9574,30005,25665,431,564,2350,2874,1258,10335,7853,5.586440677966102
9575,30008,20258,2449,1740,5457,4767,1603,2793,1449,3.7656234573995455
9576,30009,11116,211,229,1292,2204,590,4136,2454,5.245142137459518
9577,30011,9845,412,1088,3078,2390,804,1578,495,3.8938547486033523
9578,30012,16774,1505,1768,5548,3339,1343,2309,962,3.716704423512579
9579,30013,17891,454,888,5775,3597,1852,3299,2026,4.313844949974848
9580,30014,24252,951,3058,8576,5709,1514,2621,1823,3.780636648523833
9581,30016,34289,1306,2987,11138,9341,2889,4147,2481,3.9298900522033304
9582,30017,15828,482,659,3241,2890,1553,4603,2400,4.755243871619914
9583,30019,30723,699,1114,6648,7501,2789,7647,4325,4.653744751489112
9584,30021,14098,3366,1495,2912,2287,694,2267,1077,3.465101432827351
9585,30022,45924,728,658,5270,6315,2982,19102,10869,5.415882762825538
9586,30024,48559,773,1178,5855,7349,3956,18773,10675,5.297329022426327
9587,30025,6562,269,677,2133,1640,563,675,605,3.913745809204511
9588,30028,16084,702,1144,3679,3195,1129,4333,1902,4.461825416563044
9589,30030,19342,361,584,2295,1987,729,6559,6827,5.539758039499534
9590,30032,34088,1216,4443,11434,7552,2110,4842,2491,3.8620922318704527
9591,30033,22893,696,999,2265,2794,1086,7413,7640,5.418817979294981
9592,30034,31872,826,2342,9205,7825,2898,5482,3294,4.231457078313253
9593,30035,14848,370,981,5593,3615,1329,1927,1033,3.9742052801724146
9594,30038,25381,355,1735,5888,6724,2739,5189,2751,4.4313068831015325
9595,30039,28511,812,1315,7477,6709,3114,5766,3318,4.422889411104486
9596,30040,45463,1671,1710,8003,8268,3532,15507,6772,4.845214790049051
9597,30041,43147,1134,1414,6581,7256,3009,15276,8477,5.0703177509444455
9598,30043,58144,2287,3213,12107,12562,6469,14694,6812,4.531421986791415
9599,30044,53898,4736,4702,13765,10094,4007,10901,5693,4.102248691973728
9600,30045,24065,908,976,5535,5382,2945,5479,2840,4.507458965302306
9601,30046,23554,1952,1785,7209,5405,2086,3306,1811,3.893691092808016
9602,30047,43353,3628,2874,9002,7632,3745,10013,6459,4.403985883329873
9603,30052,42571,1194,2385,13351,9998,4834,6940,3869,4.202438279579996
9604,30054,7766,316,878,3090,1559,330,1037,556,3.778264228689158
9605,30055,2083,119,123,881,472,142,239,107,3.7393182909265477
9606,30056,1613,100,321,625,329,79,56,103,3.338499690018599
9607,30058,36587,900,2342,9690,9528,3793,6950,3384,4.29439418372646
9608,30060,24619,4442,2510,6298,4540,1269,4005,1555,3.5653763353507455
9609,30062,44457,1259,1104,5562,6981,3389,17003,9159,5.199473648694243
9610,30064,33574,735,1031,6691,6597,2564,9721,6235,4.886191695955203
9611,30066,38152,556,1096,6592,7937,2916,13232,5823,4.953999790312434
9612,30067,31723,1102,1149,5231,5936,2116,10642,5547,4.920656936607508
9613,30068,22650,269,327,1920,3235,1288,9385,6226,5.5609271523178805
9614,30070,297,21,86,93,67,22,8,0,3.023569023569024
9615,30071,15309,2278,1992,3964,2088,1552,2390,1045,3.652818603435888
9616,30072,619,0,9,159,80,64,203,104,4.977382875605816
9617,30075,37470,437,642,4674,5916,1944,15527,8330,5.353589538297305
9618,30076,31222,1861,1299,4888,5136,2010,10636,5392,4.845205303952341
9619,30078,23611,471,1127,5506,5886,2130,5179,3312,4.561221464571598
9620,30079,1970,75,57,507,521,114,391,305,4.48984771573604
9621,30080,39845,1352,1551,5538,7392,2260,13547,8205,5.035838875643116
9622,30082,19635,939,661,3490,3721,1363,5556,3905,4.843442831678126
9623,30083,37534,2322,3229,11038,8491,3324,6060,3070,4.005115362071722
9624,30084,28130,2628,1866,4852,4719,1924,6952,5189,4.530643441166015
9625,30087,27527,730,1390,4868,5992,2539,7460,4548,4.772514258727795
9626,30088,19755,576,1369,4938,5024,2333,3753,1762,4.289597570235383
9627,30092,23927,788,683,3883,4239,1839,7948,4547,4.9931458185313655
9628,30093,32787,6627,4092,9114,5325,1920,4183,1526,3.319394882117913
9629,30094,23229,570,1432,6747,5324,2237,4623,2296,4.303499935425545
9630,30096,45143,3127,2244,10259,8154,4577,11132,5650,4.4355714064196
9631,30097,32484,796,1088,3929,3826,2803,11538,8504,5.320588597463367
9632,30101,37986,803,1373,8245,8691,3047,10675,5152,4.696388143000053
9633,30102,27303,1356,1916,7092,6516,1862,6105,2456,4.236164524044977
9634,30103,10677,365,1310,3972,2407,1075,948,600,3.7268895757235176
9635,30104,3521,155,440,1821,629,195,233,48,3.32945186026697
9636,30105,1374,55,126,455,288,96,228,126,4.0422125181950515
9637,30106,14804,304,1081,4686,3522,868,2977,1366,4.213455822750608
9638,30107,9981,432,647,3250,2063,1067,1776,746,4.101893597835889
9639,30108,5289,396,856,2063,1012,277,383,302,3.4301380223104556
9640,30110,8907,354,939,2948,2435,534,974,723,3.861120467048389
9641,30113,4446,341,847,1713,964,196,223,162,3.257309941520468
9642,30114,34664,2372,2111,8967,6982,2782,7837,3613,4.259346872836372
9643,30115,26840,481,1146,6068,6347,2305,7272,3221,4.622540983606558
9644,30116,16135,649,1526,5485,4106,923,2271,1175,3.907406259683917
9645,30117,21434,1497,2309,6449,4573,1267,3279,2060,3.927545021927778
9646,30118,12,0,0,0,12,0,0,0,4.0
9647,30120,27358,1404,2938,9098,5968,1784,4128,2038,3.889173185174355
9648,30121,15403,885,2072,4339,4071,1281,1965,790,3.7690709602025576
9649,30122,16448,630,1355,5545,3328,1157,3166,1267,4.069613326848249
9650,30124,2061,73,172,701,473,233,176,233,4.009704027171276
9651,30125,15915,1617,2198,5968,3133,1024,1213,762,3.404398366321081
9652,30126,28115,1318,1575,6494,4503,2291,7221,4713,4.6144051218210915
9653,30127,44747,1054,2487,10913,9832,3778,11006,5677,4.531253491854203
9654,30132,26067,758,2193,8647,5731,2385,4275,2078,4.071431311620056
9655,30134,27871,1501,2914,8463,7136,1974,3602,2281,3.9005059021922426
9656,30135,42851,1411,2974,12308,9659,3452,7783,5264,4.287531212807169
9657,30137,1189,102,123,327,385,36,148,68,3.7115222876366696
9658,30139,2748,143,395,1051,554,218,229,158,3.592430858806405
9659,30141,16281,889,953,5142,3837,1718,2503,1239,4.04459185553713
9660,30143,16260,594,1683,4474,3612,1383,2684,1830,4.161070110701107
9661,30144,32761,667,1300,6090,7443,2633,9487,5141,4.803974237660633
9662,30145,5249,204,602,2182,1079,382,450,350,3.682606210706801
9663,30147,3091,185,445,1296,480,300,190,195,3.5224846328049177
9664,30148,494,8,12,210,85,44,46,89,4.293522267206478
9665,30149,78,1,0,1,0,0,40,36,6.358974358974359
9666,30152,28151,647,1166,4855,5388,1945,9454,4696,4.916947888174487
9667,30153,11291,366,1337,4543,2857,811,745,632,3.635284740058453
9668,30157,31129,580,2249,10984,8257,2589,4439,2031,4.01085804233994
9669,30161,23524,1649,3052,7418,4909,1325,2922,2249,3.806452984186363
9670,30164,0,0,0,0,0,0,0,0,
9671,30165,27155,2502,2905,8528,5216,2249,3286,2469,3.793187258331799
9672,30168,16314,1823,1168,4684,4097,1150,2117,1275,3.7989456908177024
9673,30170,2005,214,149,825,424,121,175,97,3.4997506234413964
9674,30171,2461,134,114,1005,757,136,238,77,3.6781796017878916
9675,30173,4001,309,433,1588,748,265,483,175,3.593851537115721
9676,30175,3922,273,448,1364,981,215,391,250,3.660377358490566
9677,30176,4422,184,574,1692,1055,289,315,313,3.6530981456354588
9678,30177,895,17,114,178,358,75,64,89,4.014525139664804
9679,30178,1775,118,372,652,268,120,162,83,3.404507042253521
9680,30179,12616,505,1622,4704,3341,855,1208,381,3.5997939124920735
9681,30180,23266,796,1824,7316,5557,1791,3949,2033,4.104702140462478
9682,30182,1933,234,249,831,283,105,175,56,3.271598551474392
9683,30183,4175,171,213,1261,1140,329,721,340,4.141556886227544
9684,30184,4862,143,485,1464,1024,425,816,505,4.145824763471823
9685,30185,2886,180,483,1174,471,215,269,94,3.4300069300069302
9686,30187,5500,88,315,1939,1377,432,856,493,4.143636363636364
9687,30188,43338,628,2141,7696,11733,3366,12353,5421,4.703147353361946
9688,30189,25728,548,1033,5403,5893,1948,7466,3437,4.702658582089552
9689,30204,8165,189,1045,3160,1770,714,912,375,3.7361910593998773
9690,30205,2052,42,74,573,436,180,569,178,4.489766081871345
9691,30206,2377,97,229,1077,472,143,209,150,3.6571308371897353
9692,30213,19584,811,1202,5393,4863,1717,3524,2074,4.242902369281046
9693,30214,20880,650,1110,5494,3909,1988,4651,3078,4.520114942528736
9694,30215,24297,195,900,5457,4878,2147,6448,4272,4.823846565419599
9695,30216,1570,148,226,796,143,144,96,17,3.168789808917197
9696,30217,6286,296,1038,2639,1258,405,331,319,3.4306395163856185
9697,30218,1036,93,224,452,125,13,88,41,3.1631274131274134
9698,30220,3463,148,420,1458,673,306,295,163,3.608143228414669
9699,30222,2779,229,332,1075,860,132,90,61,3.3051457358762146
9700,30223,25760,1461,3644,11271,4420,1624,2341,999,3.4705357142857145
9701,30224,16749,524,2029,5388,3600,1400,2412,1396,3.963818735446893
9702,30228,26639,638,1537,8540,6445,2668,4193,2618,4.201959533015504
9703,30230,6495,580,821,2637,1408,337,494,218,3.377983063895304
9704,30233,16688,758,2643,6961,2993,1135,1497,701,3.503295781399808
9705,30234,1284,44,156,630,235,93,90,36,3.4602803738317753
9706,30236,30909,2114,2436,10199,6926,2387,4319,2528,3.909282086123783
9707,30238,23058,1001,1957,7934,5638,1845,2948,1735,3.9173822534478275
9708,30240,18789,893,1700,5668,4253,1379,2928,1968,4.074085901325244
9709,30241,16108,854,2407,5985,3489,1003,1552,818,3.577849515768562
9710,30248,15431,371,1245,5455,2932,1473,2568,1387,4.110945499319551
9711,30250,562,144,76,153,125,37,27,0,2.8505338078291818
9712,30251,1753,85,436,660,388,78,63,43,3.170564746149458
9713,30252,29138,721,1235,9377,6572,2469,5325,3439,4.323495092319308
9714,30253,35818,1024,2818,10543,7575,3466,6404,3988,4.250907365012005
9715,30256,1669,74,134,594,389,116,183,179,3.961054523666866
9716,30257,2979,58,256,1236,663,141,359,266,3.9110439744880834
9717,30258,2137,128,263,879,462,189,133,83,3.4922788956481052
9718,30259,2096,64,188,839,554,90,257,104,3.76574427480916
9719,30260,15813,1421,2075,5339,3550,653,1978,797,3.573009549105166
9720,30263,38652,2072,3779,11554,9138,2704,6094,3311,3.986986443133602
9721,30265,23497,337,1106,5997,5473,1665,6321,2598,4.548197642252203
9722,30268,6399,412,914,2141,1255,252,751,674,3.776683856852633
9723,30269,24438,305,538,3506,4656,1629,8711,5093,5.179842867665112
9724,30273,9307,239,775,2684,2455,522,1931,701,4.165037068872891
9725,30274,22164,1097,1819,7296,6331,1937,2571,1113,3.8282349756361675
9726,30275,0,0,0,0,0,0,0,0,
9727,30276,10453,446,746,2731,2599,772,2156,1003,4.242227111833923
9728,30277,14870,217,743,3878,3080,1392,4004,1556,4.541560188298588
9729,30281,43410,1644,2927,12718,10302,3646,8062,4111,4.198087998157107
9730,30284,50,7,6,19,0,6,12,0,3.56
9731,30285,472,0,57,226,77,34,62,16,3.7161016949152543
9732,30286,15036,887,2152,5318,3023,1492,1267,897,3.6298217611066774
9733,30288,6337,626,547,1968,1304,586,823,483,3.8013255483667345
9734,30289,170,6,9,11,42,55,45,2,4.6117647058823525
9735,30290,5664,145,107,1115,1067,435,1598,1197,4.963629943502824
9736,30291,13112,470,968,4772,3275,1145,1552,930,3.9177089688834656
9737,30292,3649,170,371,1412,977,271,268,180,3.6390791997807614
9738,30293,2092,161,326,826,445,138,91,105,3.366156787762906
9739,30294,28614,766,1856,8179,7364,2516,5135,2798,4.244320961766967
9740,30295,2955,66,284,1389,608,231,183,194,3.6697123519458543
9741,30296,18057,1028,1158,5907,4001,1980,2777,1206,3.9914160713296782
9742,30297,16587,2243,2615,5690,3282,1134,1322,301,3.2181829143305
9743,30303,2723,50,359,825,589,226,471,203,4.030848329048843
9744,30305,17795,255,200,1209,1865,385,7734,6147,5.793762292778871
9745,30306,17939,125,278,1204,1193,478,7348,7313,5.949829979374547
9746,30307,14801,120,216,1257,1645,351,5374,5838,5.794743598405512
9747,30308,14875,273,578,1160,2109,568,5164,5023,5.534789915966387
9748,30309,19848,70,272,1280,1965,901,7696,7664,5.876813784764208
9749,30310,19608,875,2620,5834,4463,1513,2726,1577,3.8978478172174618
9750,30311,25127,929,2939,9321,5246,1641,2923,2128,3.8362319417359814
9751,30312,16480,464,868,2647,2669,989,4896,3947,5.022269417475728
9752,30313,3532,67,214,890,725,315,740,581,4.57163080407701
9753,30314,12437,544,1539,4197,2892,750,1621,894,3.8204550936721073
9754,30315,22897,1120,3377,7764,4965,1210,2971,1490,3.7267764335939204
9755,30316,24780,880,1995,5711,4292,903,6166,4833,4.621186440677966
9756,30317,10033,240,820,2050,1325,420,2750,2428,4.876507525166949
9757,30318,35506,800,2941,7264,6333,1247,9575,7346,4.757308623894553
9758,30319,31391,915,641,2813,2623,734,13584,10081,5.634385651938453
9759,30322,52,0,0,7,11,0,29,5,5.26923076923077
9760,30324,21231,343,793,2104,2328,790,9073,5800,5.489190334887664
9761,30326,4943,150,59,450,458,110,1916,1800,5.683997572324499
9762,30327,16341,67,83,798,1418,310,6735,6930,6.044244538277951
9763,30328,27537,355,583,2625,3149,1201,11530,8094,5.586483640193195
9764,30329,18631,2052,1121,2797,2361,668,5192,4440,4.707262090064946
9765,30331,42674,924,4235,11308,9245,3629,7126,6207,4.326943806533253
9766,30332,55,0,0,0,37,0,18,0,4.654545454545454
9767,30334,0,0,0,0,0,0,0,0,
9768,30336,213,4,23,34,59,6,78,9,4.455399061032864
9769,30337,9104,250,797,2800,2008,733,1717,799,4.1559753954305805
9770,30338,24501,153,294,2262,2469,1222,10054,8047,5.720827721317498
9771,30339,18347,196,142,1984,2235,744,7925,5121,5.586144873821333
9772,30340,17583,2550,1637,4518,2815,967,3305,1791,3.8582721947335497
9773,30341,21935,2121,1074,3506,2755,1106,6883,4490,4.744244358331434
9774,30342,20512,1390,575,1949,1934,819,8926,4919,5.2753022620904835
9775,30344,22146,810,1629,6684,5000,1927,3771,2325,4.183870676420121
9776,30345,17633,1457,1292,1912,2191,906,5157,4718,4.936142460159927
9777,30346,4089,0,32,128,225,71,1863,1770,6.180239667400342
9778,30349,47660,1060,2611,14071,10296,4501,9731,5390,4.370541334452371
