Date,portfolio,hodl,symbol
1993-01-29,1000.0,1000.0,SPY
1993-02-04,1003.022226660713,1005.0322912431994,SPY
1993-02-10,1003.022226660713,1023.8317317549154,SPY
1993-02-17,1003.022226660713,1043.6625958689558,SPY
1993-02-23,1003.022226660713,1057.0898413938698,SPY
1993-03-01,1003.022226660713,1069.7537613418972,SPY
1993-03-05,1003.022226660713,1078.0346358569311,SPY
1993-03-11,1003.022226660713,1072.1194405579065,SPY
1993-03-17,1003.022226660713,1075.6897394073649,SPY
1993-03-23,1003.022226660713,1083.1968451926991,SPY
1993-03-29,1003.022226660713,1080.1987017995014,SPY
1993-04-02,1003.022226660713,1061.483884170322,SPY
1993-04-08,1003.022226660713,1077.9521315393413,SPY
1993-04-15,1003.022226660713,1093.9274795616552,SPY
1993-04-21,1003.022226660713,1090.1213604482477,SPY
1993-04-27,1003.022226660713,1061.3137060033778,SPY
1993-05-03,1001.7281410462906,1062.0685506175453,SPY
1993-05-07,1001.7281410462906,1081.7788917688604,SPY
1993-05-13,1001.7281410462906,1093.311199027357,SPY
1993-05-19,1001.7281410462906,1101.0706276273293,SPY
1993-05-25,1001.7281410462906,1104.9389178410122,SPY
1993-06-01,1001.7281410462906,1096.3736389151595,SPY
1993-06-07,1001.7281410462906,1084.0900158169457,SPY
1993-06-11,1001.7281410462906,1095.4454817144504,SPY
1993-06-17,1001.7281410462906,1112.966278373605,SPY
1993-06-23,1001.7281410462906,1090.1129219590446,SPY
1993-06-29,1001.7281410462906,1077.3672339199268,SPY
1993-07-06,1001.7281410462906,1081.1181432006013,SPY
1993-07-12,1001.7281410462906,1074.4444498422945,SPY
1993-07-16,1001.7281410462906,1073.0795998769013,SPY
1993-07-22,1001.7281410462906,1070.8334512584552,SPY
1993-07-28,1015.2678786465796,1087.4822068631802,SPY
1993-08-03,1015.2678786465796,1105.108818541225,SPY
1993-08-09,1015.2678786465796,1099.7336177441819,SPY
1993-08-13,1015.2678786465796,1094.3799921141667,SPY
1993-08-19,1015.2678786465796,1095.9018646579723,SPY
1993-08-25,1015.2678786465796,1091.344169821219,SPY
1993-08-31,1016.0612639988228,1094.3857768647767,SPY
1993-09-07,1016.0612639988228,1098.94556232589,SPY
1993-09-13,1030.2027233678837,1116.4735458184614,SPY
1993-09-17,1030.2027233678837,1133.4843934418282,SPY
1993-09-23,1035.790117607331,1141.9157763713679,SPY
1993-09-29,1035.1152421296824,1143.4586714051093,SPY
1993-10-05,1035.1152421296824,1146.5483795166433,SPY
1993-10-11,1035.1152421296824,1137.2900146082309,SPY
1993-10-15,1035.1152421296824,1119.7328348672202,SPY
1993-10-21,1035.1152421296824,1103.1094444725636,SPY
1993-10-27,1035.1152421296824,1102.3573415333276,SPY
1993-11-02,1035.1152421296824,1100.866627603206,SPY
1993-11-08,1035.1152421296824,1103.1048638438162,SPY
1993-11-12,1055.4719400371625,1127.0527591543996,SPY
1993-11-18,1055.4719400371625,1110.5887908077873,SPY
1993-11-24,1050.534676333703,1107.6089205386763,SPY
1993-12-01,1050.534676333703,1103.8995118637515,SPY
1993-12-07,1050.534676333703,1109.822574854089,SPY
1993-12-13,1050.534676333703,1121.0404245347481,SPY
1993-12-17,1051.9682138021371,1124.8198122851093,SPY
1993-12-23,1051.9682138021371,1112.7977264675544,SPY
1993-12-30,1051.9682138021371,1115.045797013978,SPY
1994-01-05,1051.9682138021371,1118.790183703741,SPY
1994-01-11,1051.9682138021371,1115.796931260788,SPY
1994-01-17,1051.9682138021371,1108.352755785135,SPY
1994-01-21,1051.9682138021371,1118.9319115854878,SPY
1994-01-27,1051.9682138021371,1129.4449732186763,SPY
1994-02-02,1051.9682138021371,1143.116628087868,SPY
1994-02-08,1047.7632036718314,1140.8289302033354,SPY
1994-02-14,1047.7632036718314,1140.0756257879837,SPY
1994-02-18,1067.0787004274778,1163.419739947814,SPY
1994-02-25,1071.9140928653167,1171.0337625877553,SPY
1994-03-03,1071.9140928653167,1148.8667350002106,SPY
1994-03-09,1071.9140928653167,1128.4324985828255,SPY
1994-03-15,1071.9140928653167,1083.3856091405917,SPY
1994-03-21,1071.9140928653167,1097.0892164162908,SPY
1994-03-25,1071.9140928653167,1103.6234707134704,SPY
1994-03-31,1071.9140928653167,1129.3166124367378,SPY
1994-04-07,1071.9140928653167,1104.0396384811966,SPY
1994-04-13,1071.9140928653167,1116.002557216795,SPY
1994-04-19,1071.9140928653167,1142.2470484420496,SPY
1994-04-25,1071.9140928653167,1149.3046530190966,SPY
1994-05-02,1071.9140928653167,1151.66059260138,SPY
1994-05-06,1071.9140928653167,1159.9680188440668,SPY
1994-05-12,1071.9140928653167,1154.0596713482748,SPY
1994-05-18,1071.9140928653167,1155.6291638637495,SPY
1994-05-24,1066.878126145124,1152.5049046216407,SPY
1994-05-31,1066.878126145124,1154.2278216628383,SPY
1994-06-06,1066.878126145124,1141.0798530574004,SPY
1994-06-10,1066.878126145124,1145.4620969834566,SPY
1994-06-16,1066.878126145124,1163.8595399911508,SPY
1994-06-22,1066.878126145124,1171.151079152322,SPY
1994-06-28,1066.878126145124,1176.0121192327322,SPY
1994-07-05,1066.878126145124,1194.6273343442028,SPY
1994-07-11,1076.0907274468448,1207.3577786297437,SPY
1994-07-15,1076.0907274468448,1205.724762880943,SPY
1994-07-21,1076.0907274468448,1216.8092313762465,SPY
1994-07-27,1076.0907274468448,1250.4275145660606,SPY
1994-08-02,1076.0907274468448,1236.9343528722118,SPY
1994-08-08,1076.0907274468448,1223.9137319943645,SPY
1994-08-12,1076.0907274468448,1215.8300997150816,SPY
1994-08-18,1076.0907274468448,1228.5268766528118,SPY
1994-08-24,1076.0907274468448,1233.111142952399,SPY
1994-08-30,1076.0907274468448,1240.2461643274817,SPY
1994-09-06,1076.0907274468448,1220.4926057350833,SPY
1994-09-12,1076.0907274468448,1263.4788639393896,SPY
1994-09-16,1076.0907274468448,1291.4132416641246,SPY
1994-09-22,1076.0907274468448,1301.7857433285517,SPY
1994-09-28,1076.0907274468448,1280.1255412974454,SPY
1994-10-04,1076.0907274468448,1288.317611599151,SPY
1994-10-10,1076.0907274468448,1260.7624874049193,SPY
1994-10-14,1076.0907274468448,1231.9735346069601,SPY
1994-10-20,1076.0907274468448,1210.8469083801992,SPY
1994-10-26,1076.0907274468448,1209.1894878496707,SPY
1994-11-01,1076.0907274468448,1208.7762073081462,SPY
1994-11-07,1076.0907274468448,1220.4469484781496,SPY
1994-11-11,1076.0907274468448,1248.0680503340511,SPY
1994-11-17,1076.0907274468448,1271.0239706093541,SPY
1994-11-23,1076.0907274468448,1284.8965176096442,SPY
1994-11-30,1076.0907274468448,1272.2435993439017,SPY
1994-12-06,1076.0907274468448,1270.0865795480572,SPY
1994-12-12,1076.0907274468448,1268.3636524673334,SPY
1994-12-16,1076.0907274468448,1287.3021484474373,SPY
1994-12-22,1076.0907274468448,1313.047544888351,SPY
1994-12-29,1076.0907274468448,1303.8836778941418,SPY
1995-01-05,1076.0907274468448,1340.8016234461375,SPY
1995-01-11,1076.0907274468448,1375.5120822290055,SPY
1995-01-17,1076.0907274468448,1402.7410681725291,SPY
1995-01-23,1076.0907274468448,1407.6914883785496,SPY
1995-01-27,1076.0907274468448,1418.0919469911703,SPY
1995-02-02,1077.4011596863643,1422.6641868217587,SPY
1995-02-08,1072.8397232742957,1419.4799564256225,SPY
1995-02-14,1072.8397232742957,1423.1148150839965,SPY
1995-02-21,1072.8397232742957,1423.183774808478,SPY
1995-02-27,1072.8397232742957,1451.5225568125634,SPY
1995-03-03,1072.8397232742957,1474.8824123866864,SPY
1995-03-09,1072.8397232742957,1478.9943386082039,SPY
1995-03-15,1072.8397232742957,1491.8541954258856,SPY
1995-03-21,1072.8397232742957,1509.531318129101,SPY
1995-03-27,1072.8397232742957,1534.2558422785091,SPY
1995-03-31,1072.8397232742957,1533.3245612779715,SPY
1995-04-06,1072.8397232742957,1559.8972972780377,SPY
1995-04-12,1072.8397232742957,1572.8798250903155,SPY
1995-04-19,1072.8397232742957,1588.3227233588257,SPY
1995-04-25,1072.8397232742957,1568.550589672217,SPY
1995-05-01,1072.8397232742957,1549.0361936548031,SPY
1995-05-05,1072.8397232742957,1545.3603926495166,SPY
1995-05-11,1072.8397232742957,1556.2681587166514,SPY
1995-05-17,1072.8397232742957,1567.2457447305846,SPY
1995-05-23,1072.8397232742957,1604.0623764606285,SPY
1995-05-30,1072.8397232742957,1600.3151093839313,SPY
1995-06-05,1072.8397232742957,1604.9639629487135,SPY
1995-06-09,1072.8397232742957,1636.096677351271,SPY
1995-06-15,1072.8397232742957,1665.6297758400483,SPY
1995-06-21,1072.8397232742957,1701.2887178797382,SPY
1995-06-27,1072.8397232742957,1728.6362194020091,SPY
1995-07-03,1072.8397232742957,1739.2834184936805,SPY
1995-07-10,1072.8397232742957,1744.141669499745,SPY
1995-07-14,1072.8397232742957,1745.599425175129,SPY
1995-07-20,1072.8397232742957,1779.636390897192,SPY
1995-07-26,1072.8397232742957,1813.2612048294384,SPY
1995-08-01,1072.8397232742957,1849.9285974305444,SPY
1995-08-07,1072.8397232742957,1888.5856993990392,SPY
1995-08-11,1072.8397232742957,1916.0660622392438,SPY
1995-08-17,1072.8397232742957,1910.9280976810303,SPY
1995-08-23,1072.8397232742957,1906.8400159507112,SPY
1995-08-29,1072.8397232742957,1907.8650523013184,SPY
1995-09-05,1072.8397232742957,1905.3161346349757,SPY
1995-09-11,1072.8397232742957,1911.9172545119811,SPY
1995-09-15,1072.8397232742957,1923.6948247096927,SPY
1995-09-21,1072.8397232742957,1903.2842615260026,SPY
1995-09-27,1072.8397232742957,1918.5195286043636,SPY
1995-10-03,1072.8397232742957,1927.184974810815,SPY
1995-10-09,1072.8397232742957,1937.8413025882464,SPY
1995-10-13,1072.8397232742957,1948.5375274206226,SPY
1995-10-19,1072.8397232742957,1955.4186975371267,SPY
1995-10-25,1072.8397232742957,1910.8706747033598,SPY
1995-10-31,1072.8397232742957,1892.7548880560666,SPY
1995-11-06,1072.8397232742957,1899.0307762219652,SPY
1995-11-10,1046.5704780518552,1856.2441425382126,SPY
1995-11-16,1046.5704780518552,1877.524036936974,SPY
1995-11-22,1046.5704780518552,1916.6990896770872,SPY
1995-11-29,1046.5704780518552,1970.868856497108,SPY
1995-12-05,1046.5704780518552,2016.3315016080514,SPY
1995-12-11,1046.5704780518552,2085.638309907687,SPY
1995-12-15,1046.5704780518552,2051.1730923305677,SPY
1995-12-21,1046.5704780518552,2053.146795943855,SPY
1995-12-28,1046.5704780518552,2078.511855834608,SPY
1996-01-04,1046.5704780518552,2010.9704673444887,SPY
1996-01-10,1046.5704780518552,2036.5514730824182,SPY
1996-01-16,1027.9458980316585,2069.3033198893536,SPY
1996-01-22,1027.9458980316585,2054.4166409302775,SPY
1996-01-26,1027.9458980316585,2067.25002529322,SPY
1996-02-01,1027.9458980316585,1983.9891274117383,SPY
1996-02-07,1027.9458980316585,1929.5749167474467,SPY
1996-02-13,1027.9458980316585,1974.1361410550153,SPY
1996-02-20,1027.9458980316585,2002.4062218694137,SPY
1996-02-26,1027.9458980316585,2007.203787117147,SPY
