Date,Open,High,Low,Close,Adj Close,Volume
1998-01-20,77.812500,78.843750,77.406250,78.812500,48.168903,1744600
1998-01-21,78.093750,78.375000,77.281250,77.843750,47.576797,1839600
1998-01-22,77.187500,77.859375,76.937500,77.187500,47.175697,1662600
1998-01-23,77.500000,77.750000,76.312500,77.000000,47.061108,1693700
1998-01-26,77.375000,77.671875,76.937500,77.312500,47.252090,1172800
1998-01-27,77.125000,78.562500,77.078125,78.218750,47.806015,1454500
1998-01-28,78.375000,79.234375,78.218750,79.125000,48.359844,1181200
1998-01-29,79.062500,80.250000,78.890625,79.406250,48.531776,1468500
1998-01-30,79.937500,79.937500,78.968750,79.234375,48.426720,1095600
1998-02-02,80.625000,81.312500,80.406250,81.015625,49.515388,955600
1998-02-03,81.000000,81.671875,80.656250,81.656250,49.906960,619400
1998-02-04,81.218750,81.656250,80.812500,81.218750,49.639530,753200
1998-02-05,81.812500,81.906250,80.734375,81.234375,49.649082,1067600
1998-02-06,81.500000,82.171875,81.359375,82.109375,50.183868,1069700
1998-02-09,82.093750,82.250000,81.437500,81.781250,49.983303,515900
1998-02-10,82.031250,83.343750,81.921875,83.156250,50.823727,892100
1998-02-11,82.968750,83.390625,82.843750,83.156250,50.823727,515000
1998-02-12,82.734375,84.109375,82.375000,83.687500,51.148411,1065000
1998-02-13,83.343750,83.843750,83.171875,83.640625,51.119743,596700
1998-02-17,84.312500,84.718750,83.890625,84.062500,51.377575,840600
1998-02-18,84.078125,84.703125,83.843750,84.625000,51.721363,773000
1998-02-19,84.640625,84.703125,83.828125,83.828125,51.234356,804800
1998-02-20,84.078125,84.468750,83.312500,84.281250,51.511272,540600
1998-02-23,85.000000,85.000000,83.968750,84.250000,51.492191,639200
1998-02-24,84.125000,84.406250,83.531250,84.000000,51.339394,702700
1998-02-25,84.250000,85.156250,84.078125,84.687500,51.759594,687400
1998-02-26,84.609375,85.218750,84.406250,85.156250,52.046093,439800
1998-02-27,85.109375,85.953125,84.890625,85.593750,52.313423,451300
1998-03-02,85.750000,85.859375,85.281250,85.718750,52.389870,1062800
1998-03-03,85.218750,86.125000,85.187500,86.109375,52.628616,596600
1998-03-04,85.625000,85.875000,85.109375,85.531250,52.275234,691700
1998-03-05,84.500000,85.265625,84.218750,84.781250,51.816898,778300
1998-03-06,85.093750,86.031250,85.093750,86.031250,52.580856,933100
1998-03-09,85.625000,86.578125,85.593750,85.875000,52.485321,685300
1998-03-10,86.375000,86.750000,86.156250,86.718750,53.001038,563700
1998-03-11,86.937500,87.234375,86.734375,87.000000,53.172935,406600
1998-03-12,86.937500,87.062500,86.312500,86.890625,53.106125,576700
1998-03-13,87.187500,87.250000,86.093750,86.156250,52.657246,458900
1998-03-16,86.562500,87.468750,86.343750,87.468750,53.459457,733000
1998-03-17,87.281250,87.781250,87.078125,87.765625,53.640865,499900
1998-03-18,87.593750,88.015625,87.281250,87.984375,53.774609,410900
1998-03-19,88.000000,88.296875,87.843750,88.234375,53.927406,730000
1998-03-20,88.562500,89.406250,88.281250,89.156250,54.490810,754300
1998-03-23,89.187500,89.187500,88.390625,88.484375,54.080135,551600
1998-03-24,88.968750,89.859375,88.921875,89.437500,54.662701,470300
1998-03-25,90.062500,90.062500,88.250000,88.875000,54.318890,966200
1998-03-26,88.843750,89.296875,88.515625,88.625000,54.166058,412800
1998-03-27,89.343750,89.406250,87.875000,88.265625,53.946480,584100
1998-03-30,88.281250,88.562500,87.687500,88.156250,53.879604,562400
1998-03-31,88.468750,89.312500,88.062500,88.187500,53.898731,620000
1998-04-01,88.359375,89.203125,87.718750,88.937500,54.357090,373700
1998-04-02,88.906250,90.250000,88.828125,90.156250,55.101990,440600
1998-04-03,90.250000,90.578125,89.812500,90.093750,55.063828,493300
1998-04-06,90.875000,91.250000,90.343750,90.375000,55.235664,610500
1998-04-07,90.375000,90.390625,89.250000,89.890625,54.939648,707300
1998-04-08,90.062500,90.062500,88.828125,89.281250,54.567215,949500
1998-04-09,89.656250,90.468750,89.625000,90.375000,55.235664,451700
1998-04-13,90.734375,90.734375,89.562500,90.343750,55.216621,337900
1998-04-14,90.531250,91.515625,90.531250,91.437500,55.885078,451500
1998-04-15,91.656250,92.015625,91.203125,92.015625,56.238392,261800
1998-04-16,91.703125,91.703125,90.796875,91.062500,55.655830,232800
1998-04-17,90.734375,91.750000,90.578125,91.703125,56.257439,382900
1998-04-20,91.593750,91.656250,91.000000,91.296875,56.008247,299400
1998-04-21,91.250000,91.921875,90.968750,91.906250,56.382107,372000
1998-04-22,91.859375,92.109375,91.687500,91.843750,56.343739,503400
1998-04-23,91.718750,92.031250,91.109375,91.312500,56.017818,597700
1998-04-24,91.218750,91.562500,90.062500,90.546875,55.548126,820200
1998-04-27,89.437500,89.875000,88.390625,89.250000,54.752563,1916800
1998-04-28,90.031250,90.125000,88.656250,88.984375,54.589565,437200
1998-04-29,89.281250,89.953125,88.921875,89.421875,54.857971,298700
1998-04-30,90.328125,91.312500,90.218750,90.875000,55.749401,443100
1998-05-01,91.093750,91.656250,90.812500,91.656250,56.228687,338300
1998-05-04,91.984375,92.578125,91.812500,91.812500,56.324596,542500
1998-05-05,91.500000,91.859375,90.968750,91.484375,56.123291,325600
1998-05-06,91.843750,91.859375,90.281250,90.281250,55.385185,665500
1998-05-07,90.625000,90.625000,89.718750,89.734375,55.049644,593100
1998-05-08,89.750000,90.984375,89.687500,90.937500,55.787811,638100
1998-05-11,91.281250,91.843750,90.687500,90.921875,55.778156,703100
1998-05-12,90.906250,91.921875,90.609375,91.921875,56.391663,479000
1998-05-13,91.906250,92.359375,91.625000,92.250000,56.592991,399400
1998-05-14,91.562500,92.296875,91.343750,91.812500,56.324596,622900
1998-05-15,91.875000,91.875000,90.796875,90.796875,55.756157,280900
1998-05-18,90.875000,91.328125,90.000000,90.531250,55.593002,249200
1998-05-19,91.125000,91.312500,90.375000,90.562500,55.612202,482100
1998-05-20,91.250000,91.875000,90.640625,91.781250,56.360577,304400
1998-05-21,91.937500,92.171875,91.109375,91.375000,56.111130,530600
1998-05-22,91.593750,91.593750,90.937500,91.234375,56.024811,219000
1998-05-26,91.734375,91.843750,89.656250,89.656250,55.055717,561300
1998-05-27,89.000000,89.859375,87.937500,89.656250,55.055717,1041100
1998-05-28,89.750000,90.093750,89.187500,89.984375,55.257183,367700
1998-05-29,90.281250,90.421875,88.843750,88.843750,54.556831,232400
1998-06-01,88.625000,89.859375,88.593750,89.406250,54.902225,445800
1998-06-02,89.734375,89.875000,88.781250,88.953125,54.623959,391600
1998-06-03,89.375000,89.406250,87.812500,87.843750,53.942684,473100
1998-06-04,87.875000,88.953125,87.531250,88.890625,54.585590,636200
1998-06-05,89.468750,90.859375,89.000000,90.859375,55.794521,1014000
1998-06-08,90.750000,91.250000,90.484375,90.921875,55.832932,467900
1998-06-09,90.812500,91.046875,90.359375,90.734375,55.717754,180100
1998-06-10,90.281250,91.125000,89.578125,89.750000,55.113316,531300
1998-06-11,90.031250,90.140625,88.125000,88.125000,54.115440,529200
1998-06-12,88.187500,88.625000,86.875000,88.562500,54.384075,909200
1998-06-15,87.562500,87.937500,85.953125,86.000000,52.810497,617400
1998-06-16,86.812500,86.937500,85.937500,86.796875,53.299854,796500
1998-06-17,87.781250,89.171875,87.562500,88.656250,54.441666,895100
1998-06-18,88.437500,88.718750,88.093750,88.312500,54.230572,219000
1998-06-19,88.406250,88.546875,86.859375,87.078125,53.587841,506100
1998-06-22,87.187500,87.703125,86.796875,87.171875,53.645599,161500
1998-06-23,87.656250,88.421875,87.656250,88.375000,54.385941,201600
1998-06-24,88.500000,89.437500,87.859375,89.296875,54.953251,353100
1998-06-25,89.875000,90.296875,89.140625,89.687500,55.193645,420200
1998-06-26,89.593750,89.937500,89.343750,89.687500,55.193645,150400
1998-06-29,90.187500,90.656250,90.000000,90.125000,55.462883,297700
1998-06-30,89.906250,90.156250,89.359375,89.687500,55.193645,395600
1998-07-01,90.375000,90.671875,89.890625,90.593750,55.751392,347100
1998-07-02,90.343750,90.578125,90.140625,90.296875,55.568649,263900
1998-07-06,90.312500,91.250000,90.031250,91.250000,56.155266,166500
1998-07-07,91.171875,91.562500,90.718750,91.109375,56.068634,155700
1998-07-08,91.187500,91.984375,91.109375,91.953125,56.587967,146900
1998-07-09,91.375000,91.906250,90.468750,90.875000,55.924431,151500
1998-07-10,91.031250,91.468750,90.343750,91.234375,56.145630,127800
1998-07-13,91.375000,91.921875,90.796875,90.984375,55.991734,164400
1998-07-14,91.484375,92.671875,91.484375,92.437500,56.886044,276000
1998-07-15,93.000000,93.156250,92.281250,92.500000,56.924454,367900
1998-07-16,92.437500,93.406250,92.093750,93.265625,57.395668,356100
1998-07-17,93.437500,93.625000,93.093750,93.328125,57.434120,222100
1998-07-20,93.546875,93.578125,92.578125,93.125000,57.309132,234900
1998-07-21,93.578125,93.578125,91.750000,91.750000,56.462990,389800
1998-07-22,91.500000,91.750000,90.828125,91.406250,56.251366,229900
1998-07-23,91.171875,91.437500,89.203125,89.359375,54.991714,297000
1998-07-24,90.078125,90.078125,88.531250,89.437500,55.039799,424800
1998-07-27,88.968750,90.343750,88.531250,90.250000,55.539829,382900
1998-07-28,90.093750,90.093750,88.015625,89.218750,54.905178,557300
1998-07-29,89.812500,90.000000,88.828125,89.015625,54.780190,330400
1998-07-30,89.875000,90.375000,89.578125,90.234375,55.530216,533300
1998-07-31,90.125000,90.375000,88.156250,88.531250,54.482151,234400
1998-08-03,88.625000,88.921875,87.781250,87.812500,54.039791,429300
1998-08-04,88.625000,88.625000,84.875000,84.937500,52.270519,947200
1998-08-05,85.437500,85.921875,83.531250,85.656250,52.712837,1456000
1998-08-06,84.968750,86.234375,84.968750,85.656250,52.712837,571600
1998-08-07,86.281250,87.234375,85.500000,86.156250,53.020504,698900
1998-08-10,86.000000,86.406250,85.140625,85.781250,52.789738,233900
1998-08-11,84.250000,84.812500,83.062500,84.375000,51.924362,1034100
1998-08-12,85.218750,85.781250,84.718750,85.687500,52.732021,592000
1998-08-13,85.343750,86.218750,84.281250,84.281250,51.866661,651900
1998-08-14,85.625000,85.687500,83.781250,84.312500,51.885895,731000
1998-08-17,84.093750,85.968750,83.687500,85.750000,52.770519,948800
1998-08-18,86.218750,87.671875,86.031250,87.375000,53.770546,566000
1998-08-19,87.906250,87.906250,86.781250,86.968750,53.520508,324700
1998-08-20,86.593750,87.125000,86.156250,86.250000,53.078251,536300
1998-08-21,85.125000,85.593750,83.187500,85.593750,52.794945,1184400
1998-08-24,85.812500,86.343750,85.000000,85.625000,52.814213,292300
1998-08-25,86.468750,86.875000,85.281250,85.906250,52.987766,309400
1998-08-26,84.843750,85.812500,84.531250,85.390625,52.669712,653200
1998-08-27,83.937500,84.218750,80.812500,81.046875,49.990417,1887300
1998-08-28,82.000000,82.609375,80.125000,80.781250,49.826550,1225000
1998-08-31,81.218750,81.406250,74.875000,74.875000,46.183529,1284000
1998-09-01,76.218750,79.093750,73.875000,78.531250,48.438736,1760300
1998-09-02,78.656250,79.625000,77.625000,77.781250,47.976147,551100
1998-09-03,76.343750,77.625000,75.750000,77.031250,47.513504,806800
1998-09-04,77.687500,77.781250,74.937500,76.875000,47.417145,578100
1998-09-08,79.187500,80.656250,78.343750,80.593750,49.710915,1187900
1998-09-09,80.093750,80.468750,78.406250,78.406250,48.361626,879200
1998-09-10,76.468750,77.218750,75.000000,75.750000,46.723255,1292900
1998-09-11,75.375000,78.812500,75.015625,78.718750,48.554398,1086900
1998-09-14,79.421875,80.343750,79.218750,79.406250,48.978470,627700
1998-09-15,78.625000,80.500000,78.593750,80.281250,49.518116,418000
1998-09-16,80.937500,81.687500,79.593750,81.125000,50.038609,495200
1998-09-17,78.656250,79.406250,78.500000,78.781250,48.592972,681100
1998-09-18,78.562500,79.125000,78.125000,78.812500,48.679554,309400
1998-09-21,76.281250,79.562500,76.156250,79.250000,48.949780,562200
1998-09-22,80.062500,80.062500,78.515625,78.859375,48.708511,431900
1998-09-23,79.906250,81.875000,79.390625,81.875000,50.571190,680200
