ZIPCODE,STATE,2006_Score,2007_Score,2008_Score,2009_Score,2010_Score,2011_Score,2012_Score,2013_Score,2014_Score,2015_Score,2016_Score,2017_Score
1001,MA,2.3383826613842924,2.2685684099313264,2.3972778036295948,2.3862230005837715,2.4149628252788102,2.0850375505488157,2.4521640091116175,2.490888382687927,2.515765765765766,2.5407821229050276,2.5623608017817374,2.5860927152317883
1002,MA,2.4374631268436575,2.428718236173393,2.4828366283072687,2.4939832136717563,2.5055085579382257,2.510424862313139,2.6701902748414374,2.725182863113898,2.7614107883817427,2.7900723888314376,2.8250790305584825,2.877229800629591
1005,MA,2.4054054054054053,2.3330578512396696,2.47323436797121,2.493947858472998,2.5209003215434085,2.5356656065424805,2.5336322869955152,2.596412556053812,2.6315789473684212,2.656521739130435,2.6371308016877637,2.6750000000000003
1007,MA,2.5659586764918365,2.523368198066993,2.6502747639847826,2.6804020100502512,2.686450167973124,2.706297577854671,2.7363387978142075,2.7849315068493152,2.821380243572395,2.8891855807743654,2.9155672823218994,2.960681520314548
1010,MA,2.5597138139790863,2.466864490603363,2.6317494600431965,2.6728260869565217,2.6782560706401766,2.692722371967655,2.73224043715847,2.7566137566137563,2.777173913043478,2.8626373626373627,2.8404255319148937,2.8808290155440415
1013,MA,1.892687651331719,1.8032608695652175,1.9519426412169363,1.9329105143196907,1.9640974639482844,1.9683763217709256,1.9970267591674926,2.0302734375,2.0595009596928984,2.0885714285714285,2.0985781990521324,2.119514472455649
1020,MA,2.0728164997678893,1.9997645119510183,2.143506322444679,2.1259328985409804,2.163822755783368,2.1653955832614895,2.193612774451098,2.2311289245156978,2.2769640479360858,2.302248677248677,2.3144363876071194,2.358552631578948
1027,MA,2.258003962874126,2.21763085399449,2.3397129186602874,2.3308436776772568,2.3672784478238067,2.388413361169102,2.422360248447205,2.4599375650364204,2.529595015576324,2.5701125895598773,2.5782520325203255,2.6364562118126273
1028,MA,2.6821011673151753,2.6272388508234163,2.76401899140254,2.7500972132209984,2.794724036368293,2.8042521071832933,2.8431618569636132,2.8967661691542292,2.9527363184079602,2.982758620689655,3.0206060606060605,3.045563549160671
1030,MA,2.4860116001364725,2.4192343604108313,2.58000340078218,2.5596899224806204,2.5664465887929575,2.5815709969788516,2.616026711185309,2.611842105263158,2.67986798679868,2.7201986754966887,2.736666666666667,2.762767710049424
1033,MA,2.5129296235679215,2.4516320474777453,2.5599497802887634,2.5416929879974735,2.5535264483627205,2.583282114320836,2.616564417177914,2.6871165644171775,2.698170731707317,2.7220543806646527,2.780185758513932,2.8170731707317076
1034,MA,2.5717277486911,2.5513833992094863,2.6680203045685276,2.5805128205128205,2.667682926829268,2.6011505273250237,2.7199999999999998,2.7,2.794117647058823,2.8235294117647056,2.8653846153846154,2.9326923076923075
1035,MA,2.422497100889061,2.3763364219529577,2.46159724875812,2.4514637904468413,2.4767441860465116,2.4600816932788714,2.539033457249071,2.620300751879699,2.6043956043956045,2.6666666666666665,2.7158273381294964,2.7781818181818183
1036,MA,2.6356196414653157,2.5936139332365746,2.6846536548029087,2.6865497076023392,2.7383399209486163,2.7441588785046727,2.779467680608365,2.8582375478927204,2.8522727272727266,2.9176029962546814,2.9440298507462686,3.0037593984962405
1038,MA,2.4530892448512587,2.4563176895306857,2.5507692307692307,2.557661927330173,2.596302003081664,2.6457849961330235,2.676691729323308,2.7348484848484853,2.766917293233082,2.828358208955224,2.8692307692307693,2.9323308270676693
1039,MA,2.399188092016238,2.415617128463476,2.534136546184739,2.4525357607282183,2.4770039421813403,2.558743169398907,2.5844155844155843,2.602564102564102,2.702702702702703,2.6891891891891895,2.730769230769231,2.779220779220779
1040,MA,1.8757048144246855,1.7820392402421206,1.9323740118577075,1.9477664103704646,1.9607333164171532,1.9673919859534712,1.9931207004377736,2.02706104468219,2.0400246305418723,2.0677555958862675,2.0779927448609428,2.115890083632019
1053,MA,2.4339407744874713,2.334349593495935,2.4256983240223464,2.421856639247944,2.496583143507972,2.475651189127973,2.488888888888889,2.606741573033708,2.6477272727272725,2.7272727272727275,2.7386363636363633,2.8152173913043477
1054,MA,2.6390977443609023,2.59843290891283,2.666322314049587,2.6863966770508827,2.6848049281314172,2.8682008368200833,2.816326530612245,2.90625,2.9368421052631577,2.979166666666667,3.0,3.114583333333333
1056,MA,2.3277369362209415,2.2607563100691634,2.3930260047281324,2.399498997995992,2.4395989974937344,2.4370055379746836,2.4896142433234423,2.5116731517509727,2.5484496124031013,2.5961352657004833,2.6086538461538464,2.6574952561669827
1057,MA,2.435347941247291,2.392261507671781,2.513552068473609,2.485265700483092,2.525959913064477,2.5341910888730053,2.605326876513317,2.6235011990407675,2.6610576923076925,2.7054631828978626,2.739336492890995,2.7803738317757007
1060,MA,2.189321748878924,2.153291028990917,2.2595050463154984,2.2752420470262793,2.2828379674017256,2.333148865522966,2.404137931034483,2.4764542936288088,2.5413839891451833,2.576158940397351,2.6345108695652173,2.6940700808625335
1062,MA,2.398261486606351,2.355562680346265,2.4917803427771945,2.4913243626062327,2.5295470629865537,2.545233547490884,2.610915492957747,2.685512367491166,2.7082601054481543,2.7852112676056335,2.8172231985940246,2.894265232974911
1068,MA,2.585005279831045,2.523444976076555,2.616915422885572,2.6352331606217616,2.608961303462322,2.6639344262295084,2.7346938775510203,2.731958762886598,2.8229166666666665,2.854166666666667,2.8556701030927836,2.9375
1069,MA,2.2419512195121953,2.118461856522638,2.319592628516004,2.311556545409552,2.355343604793348,2.342529296875,2.382352941176471,2.4101941747572817,2.457420924574209,2.4818401937046004,2.5195121951219512,2.5717761557177616
1072,MA,2.4608938547486034,2.4453125,2.540466392318244,2.5027173913043477,2.511659807956104,2.553306342780027,2.571428571428571,2.6363636363636367,2.68,2.7534246575342465,2.81578947368421,2.8026315789473686
1073,MA,2.6106612685560053,2.6138427810836204,2.6910943148209006,2.7071786310517525,2.724160206718346,2.7507866582756453,2.8507936507936504,2.905660377358491,2.915625,2.9720496894409942,2.9878048780487805,3.048192771084337
1075,MA,2.3959426372857644,2.369777682311245,2.467704728950404,2.4705813270698767,2.5013439289470605,2.5159775512541516,2.6285714285714286,2.685339690107271,2.7270588235294118,2.7576470588235296,2.780630105017503,2.833140208574739
1077,MA,2.5431211498973307,2.5017149390243905,2.6209283387622153,2.592241023524556,2.640889614364416,2.6903740036787247,2.698989898989899,2.721212121212121,2.768924302788845,2.827935222672065,2.8456913827655312,2.885148514851485
1082,MA,2.198049363057325,2.103393981805459,2.262223109159849,2.2502543234994916,2.2911262095944,2.289590032154341,2.301619433198381,2.351020408163265,2.3803680981595092,2.396,2.4231536926147705,2.4446640316205532
1085,MA,2.341192411924119,2.2575779620738152,2.3974155280161003,2.4049839140629263,2.432479374728615,2.4378698224852067,2.474946695095949,2.5085015940488837,2.5294426919032595,2.5726227795193313,2.5984168865435353,2.6333853354134167
1089,MA,2.2016247072599535,2.1407320414954003,2.256882042504635,2.249655472546602,2.2687700847210053,2.287053863487679,2.3250547845142444,2.3523054755043225,2.389563974267334,2.424929178470255,2.437768240343348,2.480796586059744
1095,MA,2.860597439544808,2.805577376276512,2.914481026785714,2.931350114416476,2.964571428571429,2.9754818594104306,3.0153846153846153,3.0402219140083213,3.069252077562327,3.125,3.1632373113854593,3.2013513513513514
1096,MA,2.4781199351701786,2.4556040756914124,2.493594574227581,2.5290423861852434,2.580544747081712,2.592174567343868,2.6222222222222222,2.6742424242424248,2.8088235294117645,2.852713178294574,2.765625,2.8682170542635657
1098,MA,2.3680124223602483,2.323319027181688,2.390697674418605,2.359349593495935,2.4290271132376393,2.4789915966386555,2.5,2.612903225806451,2.7,2.7,2.67741935483871,2.714285714285714
1104,MA,1.7641338035695202,1.652669101025908,1.785647328403291,1.7783407219759344,1.7918680395040973,1.7672280194234942,1.7940267765190525,1.812883435582822,1.8326693227091635,1.860215053763441,1.8807429130009776,1.8980952380952378
1106,MA,3.1815376703522755,3.1670138463423596,3.246702870442203,3.2652377762893505,3.3234700739744456,3.3347491372444917,3.3876478318002627,3.4096228868660603,3.476439790575916,3.505235602094241,3.5362318840579707,3.581241743725231
1107,MA,1.5842475386779182,1.4658969424844985,1.6032769272092395,1.6055710306406683,1.6109307359307359,1.6071335589690185,1.6216931216931214,1.6569920844327175,1.6770025839793283,1.6824999999999997,1.700251889168766,1.7306733167082298
1108,MA,1.784904221862194,1.722226951562101,1.81370490551632,1.8091137770897834,1.8047303689687797,1.796732875440876,1.8205607476635517,1.8319482917820868,1.843525179856115,1.8776595744680848,1.8732638888888886,1.888040712468193
1118,MA,2.2445736983969358,2.1922220767317007,2.293616426875262,2.3089927546526496,2.325492418874876,2.3247488326022356,2.3432624113475176,2.3739376770538247,2.4053295932678824,2.406035665294925,2.407152682255846,2.4253028263795424
1129,MA,2.179479932165065,2.138257091745464,2.2827372571106737,2.2464215548694924,2.2666103603603607,2.2913320409858766,2.290858725761773,2.308333333333333,2.339673913043478,2.382978723404255,2.3903743315508024,2.409574468085107
