Date,portfolio,hodl,symbol
2013-11-07,1000.0,1000.0,TWTR
2013-11-13,1000.0,1205.0024572094767,TWTR
2013-11-19,1000.0,1252.0439394702667,TWTR
2013-11-25,1000.0,1034.297167388481,TWTR
2013-12-02,1000.0,902.1430278512437,TWTR
2013-12-06,1000.0,936.8349685944697,TWTR
2013-12-12,1071.932325988603,872.220452718413,TWTR
2013-12-18,1071.932325988603,881.5260173214036,TWTR
2013-12-24,1071.932325988603,920.9333701872981,TWTR
2013-12-31,1071.932325988603,725.9224021366748,TWTR
2014-01-07,1099.5048074848653,746.0869133071379,TWTR
2014-01-13,1129.9613671979628,724.5252089608365,TWTR
2014-01-17,1193.771310637948,684.426001374396,TWTR
2014-01-24,1193.771310637948,666.1730321342168,TWTR
2014-01-30,1193.771310637948,643.54686363894,TWTR
2014-02-05,1193.771310637948,602.9929134037275,TWTR
2014-02-11,1193.771310637948,522.8527341300183,TWTR
2014-02-18,1193.771310637948,497.2293267611091,TWTR
2014-02-24,1193.771310637948,453.49837447660235,TWTR
2014-02-28,1193.771310637948,425.5987111569002,TWTR
2014-03-06,1193.771310637948,395.1142408750437,TWTR
2014-03-12,1193.771310637948,455.09664873349953,TWTR
2014-03-18,1193.771310637948,512.4430703978155,TWTR
2014-03-24,1193.771310637948,517.2838224345934,TWTR
2014-03-28,1349.337942793834,456.7303193373221,TWTR
2014-04-03,1349.337942793834,387.3510470936826,TWTR
2014-04-09,1349.337942793834,363.2405069539771,TWTR
2014-04-15,1349.337942793834,271.45026790085495,TWTR
2014-04-22,1349.337942793834,221.93784319931072,TWTR
2014-04-28,1349.337942793834,182.29389166068847,TWTR
2014-05-02,1349.337942793834,159.66592259793225,TWTR
2014-05-08,1349.337942793834,150.868776917633,TWTR
2014-05-14,1400.0434256530214,145.11394105718009,TWTR
2014-05-20,1477.8710595166115,137.19700795530096,TWTR
2014-05-27,1477.8710595166115,145.83389860404515,TWTR
2014-06-02,1477.8710595166115,150.09046715994054,TWTR
2014-06-06,1477.8710595166115,149.60487593999756,TWTR
2014-06-12,1477.8710595166115,162.42142435453832,TWTR
2014-06-18,1477.8710595166115,175.45462714505965,TWTR
2014-06-24,1477.8710595166115,190.4684596810219,TWTR
2014-06-30,1477.8710595166115,210.08443942523974,TWTR
2014-07-07,1477.8710595166115,223.4068665691478,TWTR
2014-07-11,1477.8710595166115,232.22091969523203,TWTR
2014-07-17,1477.8710595166115,242.22226704080813,TWTR
2014-07-23,1477.8710595166115,251.10947679362795,TWTR
2014-07-29,1477.8710595166115,274.4062694402957,TWTR
2014-08-04,1477.8710595166115,273.6778942678054,TWTR
2014-08-08,1477.8710595166115,268.99735368663113,TWTR
2014-08-14,1477.8710595166115,264.5446842865454,TWTR
2014-08-20,1477.8710595166115,255.71040377905075,TWTR
2014-08-26,1477.8710595166115,298.5159697644245,TWTR
2014-09-02,1477.8710595166115,345.21776845440314,TWTR
2014-09-08,1477.8710595166115,324.0424232365662,TWTR
2014-09-12,1477.8710595166115,337.89678327689955,TWTR
2014-09-18,1477.8710595166115,344.8613522679767,TWTR
2014-09-24,1477.8710595166115,343.18762981015936,TWTR
2014-09-30,1477.8710595166115,352.541731987368,TWTR
2014-10-06,1477.8710595166115,360.1988807564956,TWTR
2014-10-10,1595.846825587854,389.73236880460325,TWTR
2014-10-16,1631.0085967565662,399.1176942252689,TWTR
2014-10-22,1631.0085967565662,428.0826342042106,TWTR
2014-10-28,1631.0085967565662,413.76985695597887,TWTR
2014-11-03,1631.0085967565662,409.09049008069934,TWTR
2014-11-07,1631.0085967565662,386.6894019867769,TWTR
2014-11-13,1631.0085967565662,401.96620463371653,TWTR
2014-11-19,1631.0085967565662,375.5857970533467,TWTR
2014-11-25,1631.0085967565662,311.8226840353434,TWTR
2014-12-02,1631.0085967565662,318.75383517890964,TWTR
2014-12-08,1631.0085967565662,297.54852324052985,TWTR
2014-12-12,1631.0085967565662,295.83932846939774,TWTR
2014-12-18,1631.0085967565662,282.973681929224,TWTR
2014-12-24,1631.0085967565662,273.9613395826685,TWTR
2014-12-31,1631.0085967565662,269.13809699035625,TWTR
2015-01-07,1631.0085967565662,250.179855500468,TWTR
2015-01-13,1631.0085967565662,238.22059614784078,TWTR
2015-01-20,1631.0085967565662,233.1088602805067,TWTR
2015-01-26,1631.0085967565662,233.29940612543882,TWTR
2015-01-30,1631.0085967565662,226.78612854185906,TWTR
2015-02-05,1631.0085967565662,219.42766015942237,TWTR
2015-02-11,1631.0085967565662,235.83619666848887,TWTR
2015-02-18,1631.0085967565662,241.10799032608816,TWTR
2015-02-24,1631.0085967565662,308.4357698314757,TWTR
2015-03-02,1631.0085967565662,358.5885332230206,TWTR
2015-03-06,1631.0085967565662,367.64761950630816,TWTR
2015-03-12,1631.0085967565662,376.54170146112017,TWTR
2015-03-18,1631.0085967565662,376.30879683221025,TWTR
2015-03-24,1631.0085967565662,368.4163578882896,TWTR
2015-03-30,1631.0085967565662,360.9797426514043,TWTR
